domain_id,domain,subdomain_id,subdomain,topic_id,topic,formats,temporality,knowledge,premed_appropriate,must_understand,assessment,common_weak_responses,dangerous_misconceptions
D1,"Motivation, insight and reflection",D1.1,Motivation for medicine,D1.1.1,Origin and evolution of interest,DQ; FU,EVERGREEN,NONE,True,"That an interest that developed and was tested is more credible than a single formative moment, and that the interviewer is listening for what tested it.",Direct question with follow-up asking what nearly changed their mind.,A childhood anecdote with no development since | 'I've always wanted to help people' | Naming a relative's illness as the whole answer,Believing a dramatic origin story scores better than a mundane one | Treating the question as a test of sincerity rather than of realism
D1,"Motivation, insight and reflection",D1.1,Motivation for medicine,D1.1.2,Medicine versus adjacent professions,DQ; FU,SLOW,CONTEXT,True,"What nursing, physician associate, paramedic, physiotherapy, biomedical science and dentistry actually involve, and what specifically about the doctor's role is the draw — diagnostic responsibility, longitudinal decision-making, breadth.","'Why not nursing?' and its variants, with follow-up on what the candidate knows about the alternative.",Answers that elevate medicine by diminishing nursing | 'I want more responsibility' with no account of what that responsibility is | Not knowing what a physician associate does,"Disparaging another profession — this is a red flag, not a weak answer | Assuming the PA role is unchanged: the Leng Review (16 July 2025) recommended renaming to 'physician assistant', scope limits and named supervisors, and GMC registration becomes mandatory on 13 December 2026"
D1,"Motivation, insight and reflection",D1.1,Motivation for medicine,D1.1.3,Course and school fit,DQ; FU,SLOW,CONTEXT,True,"The actual differences between course structures — problem-based, case-based, traditional, integrated, early clinical contact, intercalation, campus versus dispersed placements — and which suits how they learn, with a reason.",'Why this school?' Sheffield scores this as a named section ('Knowledge of Sheffield'); ScotGEM and Pears Cumbria assess school- and region-specific commitment.,Reciting rankings or league tables | 'The city seemed nice' | Course features that are true of almost every UK medical school,"Assuming this question is filler — at Sheffield it is a scored section, and at ScotGEM and Pears Cumbria it is central"
D1,"Motivation, insight and reflection",D1.1,Motivation for medicine,D1.1.4,"Realism about cost, length and commitment",DQ; FU,EVERGREEN,CONTEXT,True,"Five to six years, substantial debt, foundation training, and specialty training beyond that; that the commitment is made at 17 or 18 and is hard to reverse.","Direct question, or a challenge: 'What would make you regret this?'",Denying any downside | Treating the question as a trap and refusing to name a real cost,Performing certainty rather than considered commitment
D1,"Motivation, insight and reflection",D1.2,Insight into medical training,D1.2.1,Structure of UK medical training,DQ; FU,SLOW,CONTEXT,True,"Medical school, provisional registration, Foundation Years 1 and 2, then core or specialty training; that specialty choice is not made at application; that four UK nations run separate systems.",Direct question or a follow-up probing whether a stated specialty ambition is informed.,Announcing a specialty at 17 with no awareness of when that choice is made | Confusing foundation training with specialty training,"Speaking about 'the NHS' as one organisation — England, Scotland, Wales and Northern Ireland differ materially"
D1,"Motivation, insight and reflection",D1.2,Insight into medical training,D1.2.2,Competition and the training bottleneck,PD; FU,FAST,CONTEXT,True,"That competition for specialty training posts intensified sharply, and that the Medical Training (Prioritisation) Act 2026 (Royal Assent 5 March 2026) prioritises UK graduates. NHS England reported in June 2026 that ratios fell from roughly 4:1 to 2:1 for prioritised candidates, who filled 98% of posts.","Policy discussion, or a follow-up to a naive statement about guaranteed employment.",Assuming a medical degree guarantees a job | Citing pre-2026 competition ratios as current,Not knowing the Act exists — this was the largest change to UK medical careers in the last two years | Arguing the ethics of prioritisation one-sidedly without acknowledging the IMG supply and fairness questions
D1,"Motivation, insight and reflection",D1.2,Insight into medical training,D1.2.3,Non-clinical realities of training,DQ; PE,EVERGREEN,CONTEXT,True,"Rotational placements, relocation, night and weekend shifts, postgraduate exams paid for and sat alongside full-time work, and the effect on relationships and finances.",Personal-example or direct question about what they expect to find hardest.,Naming only academic difficulty | 'Long hours' with no specificity,Romanticising sacrifice as a virtue rather than describing how they would manage it
D1,"Motivation, insight and reflection",D1.2,Insight into medical training,D1.2.4,Attrition and why doctors leave,DQ; PD,SLOW,CONTEXT,True,"That people leave medicine, and that the reasons are usually systemic — workload, autonomy, moral distress, pay erosion — rather than individual weakness.",Policy or direct question.,Attributing attrition to people 'not being cut out for it',Framing resilience as an individual duty and ignoring the system — this reads as naive to any practising interviewer
D1,"Motivation, insight and reflection",D1.3,Insight into medical practice,D1.3.1,The doctor within a multidisciplinary team,DQ; RP; ES,SLOW,LAY,True,"That most care is delivered by teams, that nurses, pharmacists, physiotherapists, physician associates and healthcare assistants hold expertise the doctor does not, and what the doctor specifically contributes.","Direct question, roleplay with an HCP actor, or a station about disagreement across roles.",Describing the doctor as 'leading' without saying what that means in practice | Listing team members without describing interdependence,Implicit hierarchy of worth — a common and heavily penalised failure
D1,"Motivation, insight and reflection",D1.3,Insight into medical practice,D1.3.2,Limits of medicine,DQ; ES,EVERGREEN,LAY,True,"That much of medicine is managing rather than curing; that chronic disease, frailty, uncertainty and death are the ordinary case, not the failure case.","Direct question, or an ethical scenario where nothing can be fixed.",A cure-focused account of the job | Treating death as failure,Believing the assessed answer is optimism — Plymouth explicitly assesses 'Impact of illness'
D1,"Motivation, insight and reflection",D1.3,Insight into medical practice,D1.3.3,Emotional cost and its management,DQ; FU,EVERGREEN,NONE,True,"That distress is a normal response to distressing work, and that the professional question is what you do with it — debriefing, supervision, peer support, occupational health.",Direct question or reflective follow-up after a roleplay.,'I'd keep it professional and not let it affect me' | Listing exercise and sleep as the whole answer,Presenting emotional detachment as professionalism | Suggesting coping strategies involving physical discomfort or self-punishment
D1,"Motivation, insight and reflection",D1.3,Insight into medical practice,D1.3.4,The gap between depiction and reality,DQ; FU,EVERGREEN,LAY,True,"That medical drama and social media portray an unrepresentative slice — acuity, drama, decisiveness — and that most of the work is documentation, communication, coordination and uncertainty.","Direct question, often as a challenge to a naive earlier answer.",Not being able to name anything mundane about the job,Citing television as a source of insight
D1,"Motivation, insight and reflection",D1.4,Reflection on experience,D1.4.1,Reflection on caring or service experience,WE; FU,EVERGREEN,NONE,True,MSC: 'It is what you learn about yourself; about other people and about how effective care is delivered.' And: 'What you did is only half the story: make sure you show us what attributes you demonstrated.',Work-experience reflection with escalating follow-up.,Narrating duties chronologically | Naming an attribute without the incident that evidences it | 'It confirmed my desire to do medicine',"Believing more hours score higher — MSC states most schools set no minimum, and that 'there is little benefit in repeating the same type of work experience'"
D1,"Motivation, insight and reflection",D1.4,Reflection on experience,D1.4.2,Reflection on clinical observation,WE; FU,EVERGREEN,LAY,True,That watching is the weakest form of experience and needs the most reflective work; MSC states repeated shadowing 'is unlikely to be of benefit'.,"Work-experience reflection, with follow-up asking what they saw that surprised them.",Describing procedures rather than interactions | Claiming skills that were only observed in others,Reporting identifiable patient detail — a confidentiality red flag in the interview itself | Assuming hospital shadowing outranks a care home or retail job in the school's eyes
D1,"Motivation, insight and reflection",D1.4,Reflection on experience,D1.4.3,Reflection on non-healthcare work,WE; PE,EVERGREEN,NONE,True,"That paid service work — retail, hospitality, coaching, tutoring, lifeguarding — evidences communication, reliability, dealing with difficult people and working under pressure, and that MSC treats it as legitimate.",Work-experience reflection.,Apologising for the experience or ranking it below clinical exposure,A product that implicitly ranks hospital experience above service work reproduces an access inequity the schools have explicitly moved away from
