id,university,course,code,route,interview_type,engines,stations,station_length_min,prep_time_min,total_duration_min,delivery,roleplay,numeracy_data,scientific_reasoning,application_questioning,ethics,nhs_current_affairs,group_task,independently_scored,published_criteria,scoring_note,distinctive,changes,confidence,cycle_published,source_type,source_url,date_checked
imperial-a100,Imperial College London,Medicine MBBS/BSc,A100,undergraduate,MMI,E1; E6,not published,5,not published,not published,not published,not published,yes,not published,no,yes,yes,no,yes,Teamwork and leadership; Motivation to study medicine; Understanding the role of a doctor; Empathy and breaking bad news; Ethics and values-related scenarios; Data interpretation,Published rubric: 6 marks for content (what you say) and 4 marks for communication (how you say it) per station. 40% of every station is delivery.,One of only two schools publishing an explicit content/communication mark split. States the UCAS application is 'unlikely to be referred to during the interview stage' — personal-statement defence is low-yield here. Tells candidates questions 'could reflect a current news story'.,UCAT replaced BMAT from 2025 entry. No interview-format change published.,"HIGH on marking split, station length, topics, independent scoring; UNCERTAIN on station count, duration, delivery mode",2026,institution,https://www.imperial.ac.uk/medicine/study/undergraduate/medicine-mbbs-programmes/mmi/,2026-08-29
imperial-a102,Imperial College London,Medicine (Graduate Entry) MBBS,A102,graduate-entry,MMI (blended),E1; E5,not published,not published,not published,not published,hybrid (in-person + asynchronous),not published,not published,not published,not published,yes,yes,no,not published,Commitment to medicine and understanding the role of a doctor; Potential to contribute to the medical school and the region; Teamwork and leadership; Ethics; Empathy; Resilience and adaptability,not published,Candidates must prepare for two delivery modes in one circuit — live rapport and recorded monologue.,not published,MEDIUM,2026,institution,https://www.imperial.ac.uk/study/courses/undergraduate/medicine-graduate-entry/,2026-08-29
ucl-a100,University College London,Medicine MBBS,A100,undergraduate,MMI,E1,8,5,1,50,in-person,not published,not published,partial (problem solving and reasoning ability assessed),no,not published as a station type,yes,no,yes,"Academic curiosity and interest in healthcare; Motivation and understanding of the career; Problem solving and reasoning ability; Professional attitudes and values; Team work, leadership and individual strengths; Communication skills",Explicitly mapped to NHS values: putting patients first; respect and dignity; quality of care; compassion; improving health and wellbeing; inclusion.,Highest question density found anywhere — 2-3 questions inside a 5-minute station with only 1 minute of reading. Answers must be short. Personal statements are not scored for selection.,UCAT replaced BMAT from the 2024/25 cycle. No interview-format change published.,HIGH,2026,institution,https://www.ucl.ac.uk/medical-sciences/divisions/medical-school/study/undergraduate/mbbs-admissions/selection-interviews/interviews,2026-08-29
kcl-a100,King's College London,Medicine MBBS,A100,undergraduate,MMI,E1,7,not published,not published,not published,online (likely),not published,not published,not published,not published (PS used in shortlisting),yes,yes,not published,not published,"Communication skills; General social and ethical issues, typically health-related; Suitability for the programme and the health professions; Contribution to the university community",not published,One question per station — very short-form. No contextual offers on A100; the contextual route is the separate A101 EMDP.,not published,"MEDIUM on assessment focus; LOW on the 7-station online format (FAQ PDFs, not the course page)",2026,institution (FAQ PDF),https://www.kcl.ac.uk/study/undergraduate/courses/medicine-mbbs/entry-requirements,2026-08-29
kcl-a101,King's College London,Extended Medical Degree Programme MBBS,A101,undergraduate (widening participation),not published,E1,not published,not published,not published,not published,online,not published,not published,not published,not published,yes,yes,not published,not published,Values and personality based attributes; Knowledge on topical medical issues; Ethical reasoning; Communication skills,not published,"Gated eligibility: non-selective state education since 11, no prior degree, home fee status, plus a deprivation/care-experience indicator.",not published,MEDIUM,2026,institution,https://www.kcl.ac.uk/study/undergraduate/courses/extended-medical-degree-programme-mbbs/entry-requirements,2026-08-29
kcl-a102,King's College London,Graduate/Professional Entry Medicine MBBS,A102,graduate-entry,panel,E3,not published,not published,not published,not published,online,not published,not published,not published,not published,yes,yes,no,standardised scoring sheets,Values and personality based attributes; Knowledge on topical medical issues; Ethical reasoning; Communication skills,not published,"Panel, not MMI — requires sustained conversational stamina rather than station reset.",not published,HIGH on panel format and remote delivery,2026,institution,https://www.kcl.ac.uk/study/undergraduate/courses/medicine-graduate-professional-entry-mbbs/requirements,2026-08-29
qmul-a100,Queen Mary University of London (Barts),Medicine MBBS,A100,undergraduate,panel (CONFLICTING — policy permits MMI or panel),E3,not published,not published,not published,not published,CONFLICTING (course page: online; admissions policy: in-person or virtual),not published,not published,not published,yes,not published,partial,no,n/a,"Motivation and reality of a career in medicine or dentistry; Initiative, resilience and maturity; Teamwork skills; Organisation and problem-solving abilities; Contribution to university life; Communication skills",UCAT gate: overall in the fourth decile or above AND SJT Bands 1-3. SJT Band 4 ends the application at first shortlisting.,The clearest counter-example to Imperial: the panel has access to the UCAS application and may ask questions from it. Application-defence practice is high-yield here and low-yield at Imperial — this alone justifies a per-school flag in the product.,not published,MEDIUM overall; UNCERTAIN on interview type and delivery — sources conflict,2026,institution,https://www.qmul.ac.uk/fmd/study/undergraduate/courses/a100/selection-criteria/index.html,2026-08-29
qmul-malta,Queen Mary University of London (Malta campus),Medicine MBBS Malta,"direct application, not UCAS",undergraduate,panel,E3,not published,not published,not published,not published,online (Zoom),not published,not published,not published,not published,not published,not published,no,n/a,,UCAT third decile and above; SJT Band 4 not considered.,Explicit no-notes rule — worth surfacing to users who practise with prompts on screen.,not published,MEDIUM,2025,institution,https://www.qmul.ac.uk/malta/admissions/faqs/,2026-08-29
csgul-a100,"City St George's, University of London",Medicine MBBS,A100,undergraduate,MMI,E1; E2,6,4,not published,not published,not published for A100,yes,not published,not published,not published,not published explicitly,yes,no,yes,"Career motivation and commitment to the healthcare profession; Professional qualities — empathy, respect, dignity toward patients; Teamwork; Knowledge of current healthcare policies and research; Commitment to quality of care; Ability to improve others' lives",Publishes the line 'Often there is no right or wrong answer - the interviewers are assessing your ability to express your thinking.' Use this verbatim in product copy that resists model answers.,"Stations may be practical tasks, not only speech. Four-minute stations reward concision.","For 2027 entry, UCAT SJT banding will be considered in decision-making. Institution flags possible MMI changes for the 2026 application cycle.",MEDIUM — MMI confirmed on the 2027-entry course page; the six-question/four-minute detail comes from the institution's MMI guidance hub and is flagged as subject to change,2027 (format detail older),institution,https://www.citystgeorges.ac.uk/prospective-students/courses/undergraduate/medicine/2027,2026-08-29
csgul-a101,"City St George's, University of London",Medicine (Graduate Entry) MBBS,A101,graduate-entry,MMI,E1; E2,not published,not published,not published,not published,in-person,institution-wide guidance only,not published,not published,not published,not published,not published,no,yes,,not published,"GAMSAT-gated; eligible sittings for the 2027 cycle run March 2025 to September 2026, highest score used.",Flagged as possibly changing for the 2027 application cycle.,MEDIUM on MMI and in-person; LOW on station count and length,2026,institution,https://www.citystgeorges.ac.uk/prospective-students/courses/undergraduate/medicine-graduate-entry,2026-08-29
